사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
74,0:02,0:02,0:07,0:05,2023.1.10 20:19,2023.1.10 20:21,2023.1.10 20:23,2023.1.10 20:30,2023.1.10 20:35,겨울,기타 수난 ,송파구,송파소방서
75,0:01,0:05,0:04,0:06,2023.1.10 21:54,2023.1.10 21:55,2023.1.10 22:00,2023.1.10 22:04,2023.1.10 22:10,겨울,기타 수난 ,강서구,강서소방서
76,0:02,0:04,0:02,0:18,2023.1.10 23:56,2023.1.10 23:58,2023.1.11 0:02,2023.1.11 0:04,2023.1.11 0:22,겨울,기타 수난 ,용산구,용산소방서
77,0:14,0:04,0:16,0:05,2023.1.10 23:56,2023.1.11 0:10,2023.1.11 0:14,2023.1.11 0:30,2023.1.11 0:35,겨울,기타 수난 ,용산구,강남소방서
78,0:16,0:04,0:14,0:05,2023.1.10 23:56,2023.1.11 0:12,2023.1.11 0:16,2023.1.11 0:30,2023.1.11 0:35,겨울,기타 수난 ,용산구,119특수구조단
79,0:02,0:04,0:04,0:09,2023.1.10 23:56,2023.1.10 23:58,2023.1.11 0:02,2023.1.11 0:06,2023.1.11 0:15,겨울,수색,동작구,119특수구조단
80,0:02,0:07,0:03,0:03,2023.1.11 2:40,2023.1.11 2:42,2023.1.11 2:49,2023.1.11 2:52,2023.1.11 2:55,겨울,기타 수난 ,영등포구,영등포소방서
81,0:02,0:05,0:07,0:13,2023.1.11 2:40,2023.1.11 2:42,2023.1.11 2:47,2023.1.11 2:54,2023.1.11 3:07,겨울,기타 수난 ,영등포구,영등포소방서
82,0:02,0:07,0:05,0:11,2023.1.11 2:40,2023.1.11 2:42,2023.1.11 2:49,2023.1.11 2:54,2023.1.11 3:05,겨울,기타 수난 ,영등포구,마포소방서
83,0:02,0:03,0:08,0:08,2023.1.11 16:09,2023.1.11 16:11,2023.1.11 16:14,2023.1.11 16:22,2023.1.11 16:30,겨울,익수,도봉구,119특수구조단
84,0:01,0:06,0:11,0:15,2023.1.11 17:42,2023.1.11 17:43,2023.1.11 17:49,2023.1.11 18:00,2023.1.11 18:15,겨울,기타 수난 ,서초구,용산소방서
85,0:01,0:06,0:02,0:19,2023.1.11 17:42,2023.1.11 17:43,2023.1.11 17:49,2023.1.11 17:51,2023.1.11 18:10,겨울,기타 수난 ,서초구,용산소방서
86,0:01,0:06,0:06,0:05,2023.1.11 17:42,2023.1.11 17:43,2023.1.11 17:49,2023.1.11 17:55,2023.1.11 18:00,겨울,기타 수난 ,서초구,119특수구조단
87,0:03,0:18,0:19,0:10,2023.1.11 21:10,2023.1.11 21:13,2023.1.11 21:31,2023.1.11 21:50,2023.1.11 22:00,겨울,기타 수난 ,송파구,송파소방서
88,0:03,0:04,0:16,0:12,2023.1.11 21:10,2023.1.11 21:13,2023.1.11 21:17,2023.1.11 21:33,2023.1.11 21:45,겨울,기타 수난 ,송파구,119특수구조단
89,0:01,0:04,0:09,0:05,2023.1.12 0:11,2023.1.12 0:12,2023.1.12 0:16,2023.1.12 0:25,2023.1.12 0:30,겨울,기타 수난 ,마포구,마포소방서
90,0:01,0:04,0:09,0:10,2023.1.12 0:11,2023.1.12 0:12,2023.1.12 0:16,2023.1.12 0:25,2023.1.12 0:35,겨울,기타 수난 ,마포구,119특수구조단
91,0:01,0:05,0:08,0:11,2023.1.12 10:40,2023.1.12 10:41,2023.1.12 10:46,2023.1.12 10:54,2023.1.12 11:05,겨울,기타 수난 ,마포구,마포소방서
92,0:01,0:06,0:00,0:19,2023.1.12 11:56,2023.1.12 11:57,2023.1.12 12:03,2023.1.12 12:03,2023.1.12 12:22,겨울,기타 수난 ,서초구,서초소방서
93,0:01,0:05,0:05,0:08,2023.1.12 11:56,2023.1.12 11:57,2023.1.12 12:02,2023.1.12 12:07,2023.1.12 12:15,겨울,기타 수난 ,서초구,119특수구조단
94,0:02,0:01,0:04,0:02,2023.1.12 12:01,2023.1.12 12:03,2023.1.12 12:04,2023.1.12 12:08,2023.1.12 12:10,겨울,기타 수난 ,양천구,양천소방서
95,0:02,0:05,0:13,0:05,2023.1.12 13:05,2023.1.12 13:07,2023.1.12 13:12,2023.1.12 13:25,2023.1.12 13:30,겨울,침수,도봉구,도봉소방서
96,0:04,0:09,0:03,0:23,2023.1.12 13:58,2023.1.12 14:02,2023.1.12 14:11,2023.1.12 14:14,2023.1.12 14:37,겨울,기타 수난 ,광진구,광진소방서
